

      x              z              Gas #   1



Node      Flux            Width          Conc
 1420     0.273980E-05     0.500000E-05     0.280426E-01
 1421     0.273973E-05     0.500000E-05     0.280396E-01
 1424     0.273973E-05     0.500000E-05     0.280396E-01
 1425     0.274011E-05     0.500000E-05     0.280577E-01
 1428     0.274011E-05     0.500000E-05     0.280577E-01
 1432     0.273913E-05     0.300000E-05     0.280109E-01
 1433     0.273905E-05     0.100000E-05     0.280074E-01
 1434     0.273899E-05     0.100000E-05     0.280045E-01
 1435     0.273894E-05     0.100000E-05     0.280021E-01
 1436     0.273890E-05     0.100000E-05     0.280001E-01
 1437     0.273886E-05     0.100000E-05     0.279984E-01
 1438     0.273883E-05     0.100000E-05     0.279971E-01
 1439     0.273882E-05     0.100000E-05     0.279962E-01
 1440     0.273881E-05     0.100000E-05     0.279959E-01
 1441     0.273882E-05     0.100000E-05     0.279962E-01
 1442     0.273883E-05     0.100000E-05     0.279970E-01
 1443     0.273886E-05     0.100000E-05     0.279983E-01
 1444     0.273890E-05     0.100000E-05     0.280002E-01
 1445     0.273895E-05     0.300000E-05     0.280026E-01
 1448     0.273894E-05     0.300000E-05     0.280021E-01
 1449     0.273888E-05     0.100000E-05     0.279993E-01
 1450     0.273884E-05     0.100000E-05     0.279972E-01
 1451     0.273881E-05     0.100000E-05     0.279960E-01
 1452     0.273880E-05     0.100000E-05     0.279955E-01
 1453     0.273880E-05     0.100000E-05     0.279956E-01
 1454     0.273882E-05     0.100000E-05     0.279962E-01
 1455     0.273884E-05     0.100000E-05     0.279972E-01
 1456     0.273887E-05     0.100000E-05     0.279987E-01
 1457     0.273891E-05     0.100000E-05     0.280006E-01
 1458     0.273896E-05     0.100000E-05     0.280032E-01
 1459     0.273904E-05     0.300000E-05     0.280067E-01
 1462     0.273904E-05     0.300000E-05     0.280066E-01
 1463     0.273896E-05     0.100000E-05     0.280030E-01
 1464     0.273890E-05     0.100000E-05     0.280001E-01
 1465     0.273885E-05     0.100000E-05     0.279979E-01
 1466     0.273881E-05     0.100000E-05     0.279961E-01
 1467     0.273878E-05     0.100000E-05     0.279947E-01
 1468     0.273877E-05     0.100000E-05     0.279939E-01
 1469     0.273876E-05     0.500000E-06     0.279936E-01
 1471     0.273888E-05     0.300000E-05     0.279994E-01
 1472     0.273891E-05     0.100000E-05     0.280006E-01
 1473     0.273891E-05     0.100000E-05     0.280008E-01
 1474     0.273890E-05     0.100000E-05     0.280003E-01
 1475     0.273888E-05     0.100000E-05     0.279994E-01
 1476     0.273885E-05     0.100000E-05     0.279980E-01
 1477     0.273882E-05     0.100000E-05     0.279964E-01
 1478     0.273878E-05     0.100000E-05     0.279946E-01
 1479     0.273874E-05     0.100000E-05     0.279926E-01
 1480     0.273869E-05     0.300000E-05     0.279902E-01
 1482     0.273868E-05     0.300000E-05     0.279899E-01
 1483     0.273872E-05     0.100000E-05     0.279915E-01
 1484     0.273874E-05     0.100000E-05     0.279928E-01
 1485     0.273876E-05     0.100000E-05     0.279937E-01
 1486     0.273877E-05     0.100000E-05     0.279942E-01
 1487     0.273877E-05     0.100000E-05     0.279940E-01
 1488     0.273875E-05     0.100000E-05     0.279932E-01
 1489     0.273872E-05     0.100000E-05     0.279916E-01
 1490     0.273867E-05     0.300000E-05     0.279892E-01
 1493     0.273865E-05     0.300000E-05     0.279885E-01
 1494     0.273869E-05     0.100000E-05     0.279902E-01
 1495     0.273872E-05     0.100000E-05     0.279916E-01
 1496     0.273874E-05     0.100000E-05     0.279926E-01
 1497     0.273875E-05     0.100000E-05     0.279933E-01
 1498     0.273876E-05     0.100000E-05     0.279936E-01
 1499     0.273876E-05     0.100000E-05     0.279935E-01
 1500     0.273874E-05     0.300000E-05     0.279926E-01
 1502     0.273874E-05     0.300000E-05     0.279928E-01
 1503     0.273877E-05     0.100000E-05     0.279939E-01
 1504     0.273877E-05     0.100000E-05     0.279941E-01
 1505     0.273876E-05     0.100000E-05     0.279936E-01
 1506     0.273874E-05     0.100000E-05     0.279926E-01
 1507     0.273871E-05     0.100000E-05     0.279913E-01
 1508     0.273868E-05     0.100000E-05     0.279897E-01
 1509     0.273864E-05     0.300000E-05     0.279877E-01
 1512     0.273818E-05     0.500000E-05     0.279660E-01
 1513     0.273800E-05     0.500000E-05     0.279579E-01
 1515     0.273800E-05     0.500000E-05     0.279579E-01
 1516     0.273809E-05     0.500000E-05     0.279618E-01
 1519     0.273809E-05     0.500000E-05     0.279618E-01
 1520     0.273806E-05     0.500000E-05     0.279604E-01
 1522     0.273806E-05     0.500000E-05     0.279604E-01
 1523     0.273796E-05     0.500000E-05     0.279558E-01
 1526     0.273756E-05     0.500000E-05     0.279370E-01
 1527     0.273742E-05     0.500000E-05     0.279301E-01
 1529     0.273742E-05     0.500000E-05     0.279301E-01
 1530     0.273758E-05     0.500000E-05     0.279380E-01
 1533     0.273758E-05     0.500000E-05     0.279380E-01
 1534     0.273746E-05     0.500000E-05     0.279324E-01
 1536     0.273746E-05     0.500000E-05     0.279324E-01
 1537     0.273738E-05     0.500000E-05     0.279283E-01
 1540     0.273703E-05     0.500000E-05     0.279121E-01
 1541     0.273691E-05     0.500000E-05     0.279065E-01
 1543     0.273691E-05     0.500000E-05     0.279065E-01
 1544     0.273714E-05     0.500000E-05     0.279170E-01
 1547     0.273714E-05     0.500000E-05     0.279170E-01
 1548     0.273696E-05     0.500000E-05     0.279085E-01
 1550     0.273696E-05     0.500000E-05     0.279085E-01
 1551     0.273688E-05     0.500000E-05     0.279050E-01
 1554     0.273659E-05     0.500000E-05     0.278914E-01
 1555     0.273650E-05     0.500000E-05     0.278870E-01
 1557     0.273650E-05     0.500000E-05     0.278870E-01
 1558     0.273675E-05     0.500000E-05     0.278987E-01
 1561     0.273675E-05     0.500000E-05     0.278987E-01
 1562     0.273654E-05     0.500000E-05     0.278888E-01
 1564     0.273654E-05     0.500000E-05     0.278888E-01
 1565     0.273647E-05     0.500000E-05     0.278858E-01
 1568     0.273624E-05     0.500000E-05     0.278748E-01
 1569     0.273617E-05     0.500000E-05     0.278717E-01
 1571     0.273617E-05     0.500000E-05     0.278717E-01
 1572     0.273642E-05     0.500000E-05     0.278832E-01
 1575     0.273642E-05     0.500000E-05     0.278832E-01
 1576     0.273620E-05     0.500000E-05     0.278731E-01
 1578     0.273620E-05     0.500000E-05     0.278731E-01
 1579     0.273615E-05     0.500000E-05     0.278708E-01
 1582     0.273597E-05     0.500000E-05     0.278623E-01
 1583     0.273593E-05     0.500000E-05     0.278604E-01
 1585     0.273593E-05     0.500000E-05     0.278604E-01
 1586     0.273615E-05     0.500000E-05     0.278704E-01
 1589     0.273615E-05     0.500000E-05     0.278704E-01
 1590     0.273596E-05     0.500000E-05     0.278616E-01
 1592     0.273596E-05     0.500000E-05     0.278616E-01
 1593     0.273592E-05     0.500000E-05     0.278599E-01
 1596     0.273579E-05     0.500000E-05     0.278539E-01
 1597     0.273578E-05     0.500000E-05     0.278533E-01
 1599     0.273578E-05     0.500000E-05     0.278533E-01
 1600     0.273593E-05     0.500000E-05     0.278603E-01
 1603     0.273593E-05     0.500000E-05     0.278603E-01
 1604     0.273580E-05     0.500000E-05     0.278542E-01
 1606     0.273580E-05     0.500000E-05     0.278542E-01
 1607     0.273577E-05     0.500000E-05     0.278530E-01
 1610     0.273570E-05     0.300000E-05     0.278496E-01
 1611     0.273570E-05     0.100000E-05     0.278495E-01
 1612     0.273570E-05     0.100000E-05     0.278494E-01
 1613     0.273570E-05     0.100000E-05     0.278494E-01
 1614     0.273570E-05     0.100000E-05     0.278494E-01
 1615     0.273570E-05     0.100000E-05     0.278495E-01
 1616     0.273570E-05     0.100000E-05     0.278496E-01
 1617     0.273570E-05     0.100000E-05     0.278497E-01
 1618     0.273571E-05     0.100000E-05     0.278499E-01
 1619     0.273571E-05     0.300000E-05     0.278501E-01
 1621     0.273572E-05     0.300000E-05     0.278503E-01
 1622     0.273572E-05     0.100000E-05     0.278505E-01
 1623     0.273572E-05     0.100000E-05     0.278506E-01
 1624     0.273573E-05     0.100000E-05     0.278508E-01
 1625     0.273573E-05     0.100000E-05     0.278511E-01
 1626     0.273574E-05     0.100000E-05     0.278514E-01
 1627     0.273575E-05     0.100000E-05     0.278518E-01
 1628     0.273576E-05     0.100000E-05     0.278523E-01
 1629     0.273577E-05     0.300000E-05     0.278529E-01
 1632     0.273577E-05     0.300000E-05     0.278529E-01
 1633     0.273576E-05     0.100000E-05     0.278524E-01
 1634     0.273575E-05     0.100000E-05     0.278520E-01
 1635     0.273575E-05     0.100000E-05     0.278517E-01
 1636     0.273574E-05     0.100000E-05     0.278514E-01
 1637     0.273574E-05     0.100000E-05     0.278512E-01
 1638     0.273573E-05     0.100000E-05     0.278511E-01
 1639     0.273573E-05     0.300000E-05     0.278510E-01
 1641     0.273573E-05     0.300000E-05     0.278508E-01
 1642     0.273572E-05     0.100000E-05     0.278506E-01
 1643     0.273572E-05     0.100000E-05     0.278504E-01
 1644     0.273572E-05     0.100000E-05     0.278503E-01
 1645     0.273572E-05     0.100000E-05     0.278502E-01
 1646     0.273571E-05     0.100000E-05     0.278501E-01
 1647     0.273571E-05     0.100000E-05     0.278501E-01
 1648     0.273571E-05     0.300000E-05     0.278502E-01


      x              z              Gas #   3



Node      Flux            Width          Conc
 1212     0.000000E+00     0.500000E-06     0.129700E+01
 1213     0.000000E+00     0.100000E-05     0.129700E+01
 1214     0.000000E+00     0.100000E-05     0.129700E+01
 1215     0.000000E+00     0.100000E-05     0.129700E+01
 1216     0.000000E+00     0.100000E-05     0.129700E+01
 1217     0.000000E+00     0.300000E-05     0.129700E+01
 1222     0.000000E+00     0.300000E-05     0.129700E+01
 1223     0.000000E+00     0.100000E-05     0.129700E+01
 1224     0.727596E-11     0.100000E-05     0.129700E+01
 1225     0.000000E+00     0.100000E-05     0.129700E+01
 1226     0.727596E-11     0.100000E-05     0.129700E+01
 1227     0.000000E+00     0.100000E-05     0.129700E+01
 1228     0.000000E+00     0.100000E-05     0.129700E+01
 1229     0.000000E+00     0.100000E-05     0.129700E+01
 1230     0.000000E+00     0.100000E-05     0.129700E+01
 1231     0.000000E+00     0.100000E-05     0.129700E+01
 1232     0.000000E+00     0.100000E-05     0.129700E+01
 1233     0.000000E+00     0.100000E-05     0.129700E+01
 1234     0.000000E+00     0.100000E-05     0.129700E+01
 1235     0.000000E+00     0.100000E-05     0.129700E+01
 1236     0.000000E+00     0.100000E-05     0.129700E+01
 1237     0.000000E+00     0.300000E-05     0.129700E+01
 1253     0.000000E+00     0.500000E-05     0.129700E+01
 1258     0.000000E+00     0.500000E-05     0.129700E+01
 1259     0.000000E+00     0.500000E-05     0.129700E+01
 1261     0.727596E-11     0.300000E-05     0.129700E+01
 1262     0.000000E+00     0.100000E-05     0.129700E+01
 1263     0.000000E+00     0.100000E-05     0.129700E+01
 1264     0.000000E+00     0.100000E-05     0.129700E+01
 1265     0.000000E+00     0.100000E-05     0.129700E+01
 1266     0.000000E+00     0.300000E-05     0.129700E+01
 1275     0.000000E+00     0.500000E-05     0.129700E+01
 1280     0.000000E+00     0.500000E-05     0.129700E+01
 1281     0.000000E+00     0.500000E-05     0.129700E+01
 1283     0.727596E-11     0.500000E-05     0.129700E+01
 1284     0.000000E+00     0.500000E-05     0.129700E+01
 1293     0.000000E+00     0.500000E-05     0.129700E+01
 1298     0.727596E-11     0.500000E-05     0.129700E+01
 1299     0.000000E+00     0.500000E-05     0.129700E+01
 1301     0.000000E+00     0.500000E-05     0.129700E+01
 1302     0.000000E+00     0.500000E-05     0.129700E+01
 1311     0.000000E+00     0.500000E-06     0.129700E+01
 1312     0.000000E+00     0.100000E-05     0.129700E+01
 1313     0.000000E+00     0.100000E-05     0.129700E+01
 1314     0.000000E+00     0.100000E-05     0.129700E+01
 1315    -0.727596E-11     0.100000E-05     0.129700E+01
 1316    -0.727596E-11     0.300000E-05     0.129700E+01
 1321     0.000000E+00     0.300000E-05     0.129700E+01
 1322     0.727596E-11     0.100000E-05     0.129700E+01
 1323     0.727596E-11     0.100000E-05     0.129700E+01
 1324     0.000000E+00     0.100000E-05     0.129700E+01
 1325     0.727596E-11     0.100000E-05     0.129700E+01
 1326     0.000000E+00     0.100000E-05     0.129700E+01
 1327     0.727596E-11     0.100000E-05     0.129700E+01
 1328     0.727596E-11     0.100000E-05     0.129700E+01
 1329     0.727596E-11     0.100000E-05     0.129700E+01
 1330     0.000000E+00     0.100000E-05     0.129700E+01
 1331     0.727596E-11     0.100000E-05     0.129700E+01
 1332     0.727596E-11     0.100000E-05     0.129700E+01
 1333     0.727596E-11     0.100000E-05     0.129700E+01
 1334     0.727596E-11     0.100000E-05     0.129700E+01
 1335     0.727596E-11     0.100000E-05     0.129700E+01
 1336     0.000000E+00     0.300000E-05     0.129700E+01
 1338     0.727596E-11     0.300000E-05     0.129700E+01
 1339     0.727596E-11     0.100000E-05     0.129700E+01
 1340     0.727596E-11     0.100000E-05     0.129700E+01
 1341     0.000000E+00     0.100000E-05     0.129700E+01
 1342     0.727596E-11     0.100000E-05     0.129700E+01
 1343     0.727596E-11     0.300000E-05     0.129700E+01
 1355    -0.727596E-11     0.300000E-05     0.129700E+01
 1356    -0.727596E-11     0.100000E-05     0.129700E+01
 1357     0.000000E+00     0.100000E-05     0.129700E+01
 1358    -0.727596E-11     0.100000E-05     0.129700E+01
 1359    -0.727596E-11     0.100000E-05     0.129700E+01
 1360     0.000000E+00     0.100000E-05     0.129700E+01
 1361     0.000000E+00     0.100000E-05     0.129700E+01
 1362     0.000000E+00     0.100000E-05     0.129700E+01
 1363     0.000000E+00     0.100000E-05     0.129700E+01
 1364     0.000000E+00     0.100000E-05     0.129700E+01
 1365     0.000000E+00     0.100000E-05     0.129700E+01
 1366     0.000000E+00     0.100000E-05     0.129700E+01
 1367     0.000000E+00     0.100000E-05     0.129700E+01
 1368     0.000000E+00     0.300000E-05     0.129700E+01
 1371     0.000000E+00     0.300000E-05     0.129700E+01
 1372     0.000000E+00     0.100000E-05     0.129700E+01
 1373     0.000000E+00     0.100000E-05     0.129700E+01
 1374     0.000000E+00     0.100000E-05     0.129700E+01
 1375     0.000000E+00     0.100000E-05     0.129700E+01
 1376     0.000000E+00     0.100000E-05     0.129700E+01
 1377     0.000000E+00     0.100000E-05     0.129700E+01
 1378     0.000000E+00     0.100000E-05     0.129700E+01
 1379     0.000000E+00     0.100000E-05     0.129700E+01
 1380     0.000000E+00     0.100000E-05     0.129700E+01
 1381     0.000000E+00     0.100000E-05     0.129700E+01
 1382     0.000000E+00     0.300000E-05     0.129700E+01
 1385     0.727596E-11     0.300000E-05     0.129700E+01
 1386     0.000000E+00     0.100000E-05     0.129700E+01
 1387     0.000000E+00     0.100000E-05     0.129700E+01
 1388     0.000000E+00     0.100000E-05     0.129700E+01
 1389     0.145519E-10     0.100000E-05     0.129700E+01
 1390     0.000000E+00     0.100000E-05     0.129700E+01
 1391     0.000000E+00     0.100000E-05     0.129700E+01
 1392     0.000000E+00     0.500000E-06     0.129700E+01
 1396     0.000000E+00     0.500000E-05     0.129700E+01
 1397     0.000000E+00     0.500000E-05     0.129700E+01
 1400     0.000000E+00     0.500000E-05     0.129700E+01
 1401     0.000000E+00     0.500000E-05     0.129700E+01
 1404     0.727596E-11     0.500000E-05     0.129700E+01
 1408     0.000000E+00     0.500000E-05     0.129700E+01
 1409     0.000000E+00     0.500000E-05     0.129700E+01
 1412    -0.727596E-11     0.500000E-05     0.129700E+01
 1413     0.000000E+00     0.500000E-05     0.129700E+01
 1416     0.727596E-11     0.500000E-05     0.129700E+01
 1420     0.000000E+00     0.500000E-05     0.129700E+01
 1421     0.727596E-11     0.500000E-05     0.129700E+01
 1424     0.000000E+00     0.500000E-05     0.129700E+01
 1425     0.727596E-11     0.500000E-05     0.129700E+01
 1428     0.727596E-11     0.500000E-05     0.129700E+01
 1432     0.000000E+00     0.300000E-05     0.129700E+01
 1433    -0.727596E-11     0.100000E-05     0.129700E+01
 1434    -0.727596E-11     0.100000E-05     0.129700E+01
 1435     0.727596E-11     0.100000E-05     0.129700E+01
 1436    -0.727596E-11     0.100000E-05     0.129700E+01
 1437    -0.727596E-11     0.100000E-05     0.129700E+01
 1438     0.727596E-11     0.100000E-05     0.129700E+01
