

      x              z              Gas #   1



Node      Flux            Width          Conc
 1562     0.000000E+00     0.500000E-05     0.129700E+01
 1564     0.000000E+00     0.500000E-05     0.129700E+01
 1565     0.000000E+00     0.500000E-05     0.129700E+01
 1568     0.000000E+00     0.500000E-05     0.129700E+01
 1569     0.000000E+00     0.500000E-05     0.129700E+01
 1571     0.000000E+00     0.500000E-05     0.129700E+01
 1572     0.000000E+00     0.500000E-05     0.129700E+01
 1575     0.000000E+00     0.500000E-05     0.129700E+01
 1576     0.000000E+00     0.500000E-05     0.129700E+01
 1578     0.000000E+00     0.500000E-05     0.129700E+01
 1579     0.000000E+00     0.500000E-05     0.129700E+01
 1582     0.000000E+00     0.500000E-05     0.129700E+01
 1583     0.000000E+00     0.500000E-05     0.129700E+01
 1585     0.000000E+00     0.500000E-05     0.129700E+01
 1586     0.000000E+00     0.500000E-05     0.129700E+01
 1589     0.000000E+00     0.500000E-05     0.129700E+01
 1590     0.000000E+00     0.500000E-05     0.129700E+01
 1592     0.000000E+00     0.500000E-05     0.129700E+01
 1593     0.000000E+00     0.500000E-05     0.129700E+01
 1596     0.000000E+00     0.500000E-05     0.129700E+01
 1597     0.000000E+00     0.500000E-05     0.129700E+01
 1599     0.000000E+00     0.500000E-05     0.129700E+01
 1600     0.000000E+00     0.500000E-05     0.129700E+01
 1603     0.000000E+00     0.500000E-05     0.129700E+01
 1604     0.000000E+00     0.500000E-05     0.129700E+01
 1606     0.000000E+00     0.500000E-05     0.129700E+01
 1607     0.000000E+00     0.500000E-05     0.129700E+01
 1610     0.000000E+00     0.300000E-05     0.129700E+01
 1611     0.000000E+00     0.100000E-05     0.129700E+01
 1612     0.000000E+00     0.100000E-05     0.129700E+01
 1613     0.000000E+00     0.100000E-05     0.129700E+01
 1614     0.000000E+00     0.100000E-05     0.129700E+01
 1615     0.000000E+00     0.100000E-05     0.129700E+01
 1616     0.000000E+00     0.100000E-05     0.129700E+01
 1617     0.000000E+00     0.100000E-05     0.129700E+01
 1618     0.000000E+00     0.100000E-05     0.129700E+01
 1619     0.000000E+00     0.300000E-05     0.129700E+01
 1621     0.000000E+00     0.300000E-05     0.129700E+01
 1622     0.000000E+00     0.100000E-05     0.129700E+01
 1623     0.000000E+00     0.100000E-05     0.129700E+01
 1624     0.000000E+00     0.100000E-05     0.129700E+01
 1625     0.000000E+00     0.100000E-05     0.129700E+01
 1626     0.000000E+00     0.100000E-05     0.129700E+01
 1627     0.000000E+00     0.100000E-05     0.129700E+01
 1628     0.000000E+00     0.100000E-05     0.129700E+01
 1629     0.000000E+00     0.300000E-05     0.129700E+01
 1632     0.000000E+00     0.300000E-05     0.129700E+01
 1633     0.000000E+00     0.100000E-05     0.129700E+01
 1634     0.000000E+00     0.100000E-05     0.129700E+01
 1635     0.000000E+00     0.100000E-05     0.129700E+01
 1636     0.000000E+00     0.100000E-05     0.129700E+01
 1637     0.000000E+00     0.100000E-05     0.129700E+01
 1638     0.000000E+00     0.100000E-05     0.129700E+01
 1639     0.000000E+00     0.300000E-05     0.129700E+01
 1641     0.000000E+00     0.300000E-05     0.129700E+01
 1642     0.000000E+00     0.100000E-05     0.129700E+01
 1643     0.000000E+00     0.100000E-05     0.129700E+01
 1644     0.000000E+00     0.100000E-05     0.129700E+01
 1645     0.000000E+00     0.100000E-05     0.129700E+01
 1646     0.000000E+00     0.100000E-05     0.129700E+01
 1647     0.000000E+00     0.100000E-05     0.129700E+01
 1648     0.000000E+00     0.300000E-05     0.129700E+01
